Utility_Number,Utility_Name,State_FIPS,State_Name,NERC_Region_Code,NERC_Region_Long_Name,NERC_Region_Short_Name
55,"City of Aberdeen - (MS)",28000,Mississippi,6,Southeastern Electric Reliability Council,SERC
59,"City of Abbeville - (LA)",22000,Louisiana,7,Southwest Power Pool,SPP
84,"A & N Electric Coop",51000,Virginia,5,Reliability First Corporation,RFC
97,"Adams Electric Coop",17000,Illinois,6,Southeastern Electric Reliability Council,SERC
108,"Adams-Columbia Electric Coop",55000,Wisconsin,3,Midwest Reliability Organization,MRO
113,"Agway Energy Services, LLC",36000,New York,4,Northeast Power Coordinating Council,NPCC
118,"Adams Rural Electric Coop, Inc",39000,Ohio,5,Reliability First Corporation,RFC
122,"Village of Arcade - (NY)",36000,New York,4,Northeast Power Coordinating Council,NPCC
123,"City of Adel- (GA)",13000,Georgia,6,Southeastern Electric Reliability Council,SERC
150,"Adrian Public Utilities Comm",27000,Minnesota,3,Midwest Reliability Organization,MRO
155,"Agralite Electric Coop",27000,Minnesota,3,Midwest Reliability Organization,MRO
162,"Aiken Electric Coop Inc",45000,South Carolina,6,Southeastern Electric Reliability Council,SERC
176,"Ajo Improvement Co",4000,Arizona,8,Western Electricity Coordinating Council,WECC
189,"PowerSouth Energy Cooperative",1000,Alabama,6,Southeastern Electric Reliability Council,SERC
195,"Alabama Power Co",1000,Alabama,6,Southeastern Electric Reliability Council,SERC
201,"City of Alachua - (FL)",12000,Florida,12,Florida Reliability Coordinating Council,FRCC
207,"City of Alameda",6000,California,8,Western Electricity Coordinating Council,WECC
213,"Alaska Electric Light&Power Co",2000,Alaska,1,Alaska,AK
219,"Alaska Power and Telephone Co",53000,Washington,1,Alaska,AK
221,"Alaska Village Elec Coop, Inc",2000,Alaska,1,Alaska,AK
230,"Albany Water Gas & Light Comm",13000,Georgia,6,Southeastern Electric Reliability Council,SERC
232,"City of Albemarle - (NC)",37000,North Carolina,6,Southeastern Electric Reliability Council,SERC
240,"Albemarle Electric Member Corp",37000,North Carolina,6,Southeastern Electric Reliability Council,SERC
241,"Albertville Municipal Utilities Board",1000,Alabama,6,Southeastern Electric Reliability Council,SERC
261,"AGC Division of APG Inc",42000,Pennsylvania,5,Reliability First Corporation,RFC
276,"Alcorn County Elec Power Assn",28000,Mississippi,6,Southeastern Electric Reliability Council,SERC
289,"City of Alexander City",1000,Alabama,6,Southeastern Electric Reliability Council,SERC
